"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13563","TC_002 Add Employee","chromium","2026-06-24","passed","2026-06-24","","AddEmployee.spec.ts","",""
"","10036","TC_003 Edit Employee","chromium","2026-06-24","passed","2026-06-24","","EditEmployee.spec.ts","",""
"","5158","TC_001_Login_Logout","chromium","2026-06-24","passed","2026-06-24","","Login.spec.ts","",""
"","16538","TC_004 Delete Employee","chromium","2026-06-24","passed","2026-06-24","","DeleteEmployee.spec.ts","",""
